feature,False Negative,False Positive,True Negative,True Positive
EXT_SOURCE_1,0.5069085162910619,0.36831171449995737,0.5618359783572218,0.3336995698433426
EXT_SOURCE_2,0.5436118008346973,0.40310472132257913,0.5725037146431144,0.35951833764817587
EXT_SOURCE_3,0.5355337432374762,0.3756486155760819,0.5744427889485993,0.3294730437540242
AMT_INCOME_TOTAL,170517.01470164311,158971.60015300888,173197.00316245743,163709.11368591714
AMT_CREDIT,627949.717497838,546966.5202668034,625344.3087119326,530560.5640688768
AMT_ANNUITY,27409.60896511963,26105.399197341576,27594.94687308598,26121.844635768994
AGE_YEARS,45.035652925915244,39.89601529477876,45.97428247057183,39.129807681556436
EMPLOYMENT_YEARS,6.789976311953352,4.666967271239602,7.6201589455444285,4.362207132807243
CNT_CHILDREN,0.3911790141251081,0.4782183781670698,0.38634055012249285,0.4919774137641863
DAYS_EMPLOYED,74373.19184202941,36525.18990202546,77586.30155157647,29990.865600715602
INS_LATE_RATIO,0.07281554742509432,0.10377951911473601,0.06065897013151631,0.11455204514917319
INS_DPD_MEAN,1.0516925142449556,1.2960510962677712,0.934845816761326,1.4460677415322174
POS_DPD_RATIO,0.023617675217826647,0.028525969170800997,0.017745739100971936,0.032252108810252145
POS_DPD_DEF_RATIO,0.009456909724753802,0.01583147663517468,0.007045403103640081,0.019213461818129798
CC_DPD_RATIO,0.024767167852412234,0.018382802169682102,0.021743332408652047,0.019895296667100777
CC_BALANCE_LIMIT_RATIO_MEAN,0.2969023493038835,0.4632896996880643,0.25018103623137367,0.5361141551550981
CC_PAYMENT_MIN_RATIO_MEAN,7.8936751025939245,7.514970519355917,29.183896535747333,5.776411181375589
DAYS_BIRTH,-16438.000576535025,-14562.041535341688,-16780.612947397774,-14282.384357354504
AMT_GOODS_PRICE,562489.8654206956,482151.96034113836,567431.930182313,460474.37446153845
BUREAU_DEBT_CREDIT_RATIO_MEAN,0.24551161828712262,0.8219728696040143,0.27382757599289176,0.6179466457191171
