SK_ID_CURR,TARGET,OOF_PRED,EXT_SOURCE_2,EXT_SOURCE_3,AMT_CREDIT,AMT_ANNUITY,AMT_INCOME_TOTAL,AGE_YEARS,INS_LATE_RATIO,POS_DPD_RATIO,CC_DPD_RATIO
321580,0,0.9811610014116,0.0104336289914305,0.2594676548211199,592560.0,31153.5,225000.0,31.34,0.5652173913043478,0.6428571428571429,
171428,0,0.9801529481803252,0.0115272758995162,0.1986200451074864,353241.0,28039.5,180000.0,38.42,0.0425531914893617,0.0,0.0
151205,0,0.9799577158165664,0.2306247454287237,0.1510075350878296,521280.0,35392.5,112500.0,36.4,0.21621621621621623,0.5,0.0
453995,0,0.974355010980076,0.197102439038165,0.2327247762679433,592560.0,35937.0,117000.0,32.99,0.12,0.0,0.0
246993,0,0.9727363008264036,0.0335858611347798,0.1852020815902493,521280.0,28408.5,99000.0,50.56,0.1111111111111111,0.0,0.0
320907,0,0.9716637846963692,0.0668572577996648,0.190705947811054,458725.5,42201.0,135000.0,32.13,0.1,0.0,
188110,0,0.9715875405575644,0.6300111130707674,0.0005272652387098,545040.0,25407.0,162000.0,39.86,0.3076923076923077,0.0,
218200,0,0.9708811247487448,0.0004670617756973,0.1766525794312139,675000.0,41296.5,157500.0,47.54,0.08823529411764706,0.05555555555555555,0.0
324442,0,0.9706307912323712,0.0002206225165563,0.2103502286944494,315000.0,21307.5,112500.0,24.49,0.5,0.08333333333333333,
177300,0,0.9700450249503568,0.0604461400666156,0.0258100106755155,592560.0,40216.5,135000.0,30.31,0.3333333333333333,0.0,
332887,0,0.969868698671916,0.1062166568564153,0.0828147042440649,254700.0,20250.0,337500.0,42.18,0.05,0.0,0.0
347098,0,0.9695405357040487,0.1286281065585745,0.1464420666789632,497520.0,39438.0,202500.0,28.76,0.10869565217391304,0.0,0.0
346468,0,0.9689788931487224,0.1606970935034709,0.3001077565791181,355536.0,24178.5,207000.0,46.43,0.1875,0.0,0.25
344331,0,0.9681183225353156,0.0353458178952265,0.0441303158529594,284400.0,22599.0,202500.0,29.37,0.2857142857142857,0.0,
338770,0,0.967210553227174,0.0209065249659994,0.0785361445733672,485640.0,44671.5,157500.0,34.25,0.2,0.1,
242902,0,0.9671081089997255,0.0825890139843612,,888840.0,32053.5,180000.0,47.42,0.21428571428571427,0.07692307692307693,
337612,0,0.9661071148942516,0.0355027300794015,0.1500851762342935,604152.0,29196.0,202500.0,31.19,0.05,0.0,0.0
242127,0,0.9641341605550122,0.0428058206077068,0.1419915427739129,460858.5,22545.0,157500.0,27.77,0.125,0.0,0.0
365641,0,0.963550828955008,0.0002525603816086,,521280.0,41926.5,135000.0,23.64,0.1,0.0,
281935,0,0.962554700884264,0.0911607591866079,0.1556893746835917,343800.0,16155.0,67500.0,47.78,0.0,,0.0
